Lead_ID,IČO,Company_Name,CZ_NACE_Section,CZ_NACE_Section_Label,Industry,Region_Code,Region_Name,Legal_Form_Code,Legal_Form_Label,Founding_Year,Company_Age_Years,Size_Band,NumberOfEmployees,Annual_Revenue_MCZK__c,LeadSource,Status,Rating,Owner,Web_Interactions__c,Email_Opens__c,Email_Clicks__c,Emails_Sent__c,Email_Open_Rate__c,Form_Submissions__c,Demo_Requested__c,Time_to_First_Response_h__c,Calls_Made__c,Meetings_Held__c,Proposal_Sent__c,Content_Downloads__c,Chatbot_Interactions__c,LinkedIn_Viewed__c,Days_Since_Last_Activity__c,CreatedDate,LastActivityDate,Days_in_Pipeline__c,Rule_Based_Score,Rule_Based_Segment,Conversion_Probability,Win_Probability__c,Converted,Closed_Won,IČO_Duplicate_Flag
00Q0000011,40615511,"DANWEISS, spol.s r.o.",M,Professional & Scientific,Consulting,CZ010,Praha,112,s.r.o.,1991,35,Small,25,48.39,Web,Contacted,Cold,Pavel Kratochvíl,5,5,2,12,0.4897,0,False,44.4,1,1,False,2,0,False,6,2024-09-21,2024-11-11,51,69,High,0.675494,0.169,1,1,0
00Q0000012,28430140,Karas&Karasová Reality s.r.o.,G,Wholesale & Retail,Retail,CZ020,Středočeský,112,s.r.o.,2008,18,Small,24,154.9,Email Campaign,Nurturing,Cold,Tomáš Dvořák,0,2,0,5,0.4913,1,False,0.6,1,1,False,1,0,False,22,2022-12-22,2023-01-29,38,54,Medium,0.319452,0.234,0,0,0
00Q0000013,26781085,KREISA s.r.o.,G,Wholesale & Retail,Retail,CZ020,Středočeský,112,s.r.o.,2003,23,Small,35,143.3,Web,Working,Cold,Jana Procházková,2,16,1,19,0.8894,4,False,53.2,6,2,False,0,1,False,2,2025-01-20,2025-02-02,13,54,Medium,0.121623,0.204,0,0,0
00Q0000014,27750035,Jovimer CZ spol. s r.o.,H,Transportation,Transportation,CZ064,Jihomoravský,112,s.r.o.,2007,19,Medium,227,422.29,Referral,Unqualified,Cold,Jana Procházková,1,8,3,11,0.7299,2,True,36.9,5,1,False,0,0,False,58,2023-02-16,2023-02-25,9,43,Medium,0.14742,0.143,0,0,0
00Q0000015,25282476,"ZENA-PALIVA, spol. s r.o.",H,Transportation,Transportation,CZ052,Královéhradecký,112,s.r.o.,1998,28,Small,18,21.22,Event,Nurturing,Cold,Tomáš Dvořák,2,10,1,12,0.9153,1,False,10.3,1,0,False,1,1,True,68,2024-06-25,2024-11-04,132,54,Medium,0.520605,0.104,0,0,0
00Q0000016,25328727,GEOMETRA - zeměměřická kancelář s.r.o.,M,Professional & Scientific,Consulting,CZ064,Jihomoravský,112,s.r.o.,1997,29,Small,24,40.03,Other,Working,Warm,Martin Novák,0,0,0,3,0.0767,0,False,138.8,0,0,False,2,0,True,9,2025-03-20,2025-03-24,4,42,Medium,0.014501,0.192,0,0,0
00Q0000017,65416171,UNIVENT CZ s.r.o.,G,Wholesale & Retail,Retail,CZ010,Praha,112,s.r.o.,1996,30,Small,19,148.43,Cold Call,Nurturing,Cold,Lucie Horáková,5,5,0,9,0.6223,1,False,52.2,2,0,False,2,0,False,27,2022-04-09,2022-08-15,128,55,Medium,0.323157,0.105,0,0,0
00Q0000018,04167562,Budžak Building s.r.o.,F,Construction,Construction,CZ010,Praha,112,s.r.o.,2015,11,Medium,88,81.23,Other,Contacted,Cold,Eva Šimánek,0,1,0,7,0.2303,0,False,11.3,1,0,False,0,0,False,4,2022-01-18,2022-03-09,50,49,Medium,0.227298,0.099,0,0,0
00Q0000019,08782440,Mountain Development s.r.o.,L,Real Estate,Real Estate,CZ051,Liberecký,112,s.r.o.,2019,7,Small,11,12.59,Email Campaign,Contacted,Warm,Martin Novák,1,9,1,11,0.8986,2,False,140.4,1,3,False,2,0,False,15,2024-09-22,2024-10-20,28,49,Medium,0.062824,0.349,0,0,0
00Q0000020,07362846,JOSOMA s.r.o.,F,Construction,Construction,CZ010,Praha,112,s.r.o.,2018,8,Small,28,43.14,Referral,Contacted,Cold,Pavel Kratochvíl,4,10,7,16,0.6458,3,False,5.4,2,0,False,3,1,False,1,2025-01-22,2025-02-14,23,62,High,0.715811,0.112,1,1,0
00Q0000021,25250507,VERMAX s.r.o.,C,Manufacturing,Manufacturing,CZ052,Královéhradecký,112,s.r.o.,1996,30,Small,21,80.34,Event,New,Cold,Pavel Kratochvíl,4,1,0,9,0.2068,1,False,102.0,2,2,False,3,0,True,5,2024-09-19,2024-09-23,4,50,Medium,0.133951,0.2,0,0,0
00Q0000022,45358800,"STAMOZA, společnost s ručením omezeným",F,Construction,Construction,CZ041,Karlovarský,112,s.r.o.,1992,34,Small,13,14.01,Web,Nurturing,Cold,Pavel Kratochvíl,2,0,0,7,0.0419,0,False,4.1,3,1,False,1,0,True,19,2024-04-03,2024-05-03,30,39,Medium,0.23826,0.139,0,0,0
00Q0000023,10918671,Hotel Fénix s.r.o.,I,Accommodation & Food,Hospitality,CZ051,Liberecký,112,s.r.o.,2021,5,Medium,70,72.92,Event,New,Cold,Martin Novák,2,3,1,8,0.4489,0,False,7.4,1,0,False,0,2,True,15,2023-04-23,2023-04-24,1,50,Medium,0.023526,0.1,0,0,0
00Q0000024,21504059,OpenDataStudio s.r.o.,M,Professional & Scientific,Consulting,CZ064,Jihomoravský,112,s.r.o.,2024,2,Small,25,44.31,LinkedIn,Unqualified,Warm,Pavel Kratochvíl,5,2,0,7,0.3285,0,False,182.7,0,0,False,0,0,False,7,2024-01-25,2024-01-30,5,18,Low,0.027105,0.168,0,0,0
00Q0000025,03351955,LOCO CO. s.r.o.,C,Manufacturing,Manufacturing,CZ051,Liberecký,112,s.r.o.,2014,12,Small,18,53.17,Web,Contacted,Warm,Pavel Kratochvíl,7,5,2,11,0.494,1,False,16.2,5,0,False,2,1,True,20,2023-02-16,2023-03-28,40,49,Medium,0.217268,0.199,0,0,0
00Q0000026,26705982,Valcon International s.r.o.,M,Professional & Scientific,Consulting,CZ010,Praha,112,s.r.o.,2002,24,Small,37,50.33,Partner,Unqualified,Cold,Eva Šimánek,9,3,1,11,0.3473,2,False,91.5,3,1,False,6,1,False,15,2024-12-07,2024-12-20,13,32,Medium,0.016478,0.132,0,0,0
00Q0000027,28779002,MODELA CZECH PLUS s.r.o.,M,Professional & Scientific,Consulting,CZ053,Pardubický,112,s.r.o.,2009,17,Small,14,17.27,Referral,Qualified,Hot,Martin Novák,9,3,1,16,0.2027,0,False,18.5,2,2,True,4,1,False,3,2024-03-15,2024-05-25,71,100,High,0.987335,0.65,1,1,0
00Q0000028,49050575,AGRODRUŽSTVO ŠUMAVSKÉ HOŠTICE,A,Agriculture,Agriculture,CZ031,Jihočeský,811,Pobočka,1993,33,Medium,65,82.83,Web,Contacted,Warm,Jana Procházková,6,5,0,11,0.5054,0,False,14.2,6,0,False,2,2,True,16,2022-12-24,2023-02-06,44,49,Medium,0.201414,0.199,1,0,0
00Q0000029,49097164,JIVOS s.r.o.,G,Wholesale & Retail,Retail,CZ010,Praha,112,s.r.o.,1994,32,Medium,101,938.82,Web,Qualified,Hot,Martin Novák,3,4,0,12,0.4127,0,False,8.1,2,0,True,0,0,True,2,2022-02-18,2022-04-15,56,88,High,0.968317,0.538,0,0,0
00Q0000030,07083220,Projekce 21 Brno s.r.o.,M,Professional & Scientific,Consulting,CZ064,Jihomoravský,112,s.r.o.,2018,8,Small,18,28.85,Web,Qualified,Hot,Pavel Kratochvíl,1,6,1,14,0.4847,0,False,19.6,1,4,False,0,0,True,2,2022-07-25,2022-10-20,87,84,High,0.963237,0.534,1,1,0
00Q0000031,19916051,Wellness Holešky s.r.o.,I,Accommodation & Food,Hospitality,CZ010,Praha,112,s.r.o.,2023,3,Small,40,36.24,Web,Contacted,Warm,Eva Šimánek,1,2,0,5,0.5002,3,True,1.5,5,4,False,1,0,False,13,2022-05-27,2022-06-09,13,77,High,0.954935,0.507,1,1,0
00Q0000032,26205173,A7B Bohemia a.s.,G,Wholesale & Retail,Retail,CZ010,Praha,121,a.s.,2000,26,Small,37,122.07,Referral,Contacted,Cold,Eva Šimánek,12,4,1,6,0.7503,1,True,143.0,1,1,False,1,0,False,1,2022-03-26,2022-05-15,50,85,High,0.903302,0.185,1,1,0
00Q0000033,49971573,"COOPINVESTA, spol. s r.o.",F,Construction,Construction,CZ072,Zlínský,112,s.r.o.,1993,33,Small,11,21.29,Web,Nurturing,Cold,Jana Procházková,3,1,0,10,0.1215,0,True,8.0,3,0,False,2,1,True,168,2022-06-19,2022-09-20,93,47,Medium,0.206759,0.097,0,0,0
00Q0000034,09338012,OneMania s.r.o.,I,Accommodation & Food,Hospitality,CZ064,Jihomoravský,112,s.r.o.,2020,6,Medium,62,125.19,Event,Working,Hot,Martin Novák,0,3,0,8,0.4399,4,True,33.6,4,0,False,2,0,False,2,2023-12-20,2023-12-30,10,61,High,0.615812,0.311,0,0,0
00Q0000035,43001530,"4HP, spol. s r.o.",G,Wholesale & Retail,Retail,CZ010,Praha,112,s.r.o.,1991,35,Small,17,60.52,Email Campaign,Nurturing,Warm,Martin Novák,3,6,0,10,0.6656,0,True,1.9,6,0,False,0,0,True,22,2024-10-10,2025-03-27,168,75,High,0.788618,0.305,0,0,0
00Q0000036,09049568,"Moderní bydlení, s.r.o.",M,Professional & Scientific,Consulting,CZ064,Jihomoravský,112,s.r.o.,2020,6,Small,15,45.29,Partner,Nurturing,Warm,Jana Procházková,0,5,3,8,0.6872,1,False,20.7,2,2,False,1,1,True,80,2024-01-25,2024-06-26,153,78,High,0.511651,0.328,0,0,0
00Q0000037,27948102,ServisAuto spol. s r.o.,S,Other Services,Other,CZ010,Praha,112,s.r.o.,2007,19,Small,35,49.87,LinkedIn,Working,Hot,Lucie Horáková,10,4,1,14,0.3229,2,False,0.3,2,1,False,1,0,True,1,2023-08-30,2023-09-10,11,70,High,0.478561,0.45,0,0,0
00Q0000038,45791813,Murtfeldt Plasty s.r.o.,C,Manufacturing,Manufacturing,CZ020,Středočeský,112,s.r.o.,1992,34,Medium,173,435.56,Referral,Converted,Cold,Jana Procházková,25,7,4,11,0.684,2,True,0.3,4,1,True,1,0,True,4,2024-05-13,2024-10-05,145,100,High,0.999469,0.48,1,0,0
00Q0000039,24753157,UOL a.s.,J,Information & Communication,Technology,CZ010,Praha,121,a.s.,2010,16,Small,22,96.88,Web,Converted,Hot,Eva Šimánek,3,2,0,14,0.163,2,True,43.5,4,1,False,2,1,False,0,2024-04-22,2024-05-28,36,74,High,0.997514,0.374,1,0,0
00Q0000040,46900837,KXCOMM s.r.o.,G,Wholesale & Retail,Retail,CZ072,Zlínský,112,s.r.o.,1992,34,Small,30,159.86,Web,Qualified,Hot,Martin Novák,4,3,1,11,0.3271,0,False,3.2,4,1,True,4,0,True,2,2024-04-05,2024-05-09,34,79,High,0.895866,0.579,1,0,0
00Q0000041,04274555,Nikla s.r.o.,G,Wholesale & Retail,Retail,CZ072,Zlínský,112,s.r.o.,2015,11,Small,42,83.92,Web,Working,Warm,Jana Procházková,17,2,1,10,0.2779,2,False,27.3,6,1,False,3,2,True,7,2024-11-14,2024-12-14,30,54,Medium,0.113765,0.254,0,0,0
00Q0000042,05267391,Relax na max s.r.o.,G,Wholesale & Retail,Retail,CZ053,Pardubický,112,s.r.o.,2016,10,Small,35,143.22,Web,Unqualified,Warm,Pavel Kratochvíl,3,1,0,7,0.2676,0,False,11.2,2,0,False,1,0,False,3,2024-07-12,2024-07-15,3,6,Low,0.003047,0.156,0,0,0
00Q0000043,22053808,Coffeekids s.r.o.,S,Other Services,Other,CZ020,Středočeský,112,s.r.o.,2024,2,Small,15,61.37,Referral,Qualified,Hot,Eva Šimánek,1,6,4,12,0.5136,0,False,19.8,2,3,True,1,0,False,0,2023-02-10,2023-03-22,40,85,High,0.8628,0.685,1,0,0
00Q0000044,49099558,"Pozemní stavby - Stavoservis, a.s.",L,Real Estate,Real Estate,CZ051,Liberecký,121,a.s.,1993,33,Small,42,32.83,Referral,Working,Hot,Lucie Horáková,3,5,2,10,0.5721,2,False,19.1,2,1,False,4,0,False,2,2024-09-29,2024-10-11,12,63,High,0.300856,0.363,0,0,0
00Q0000045,25182421,ZEAS AGRO a.s. RÁBÍN,A,Agriculture,Agriculture,CZ031,Jihočeský,121,a.s.,1998,28,Medium,70,112.84,Partner,Unqualified,Hot,Martin Novák,0,0,0,2,0.4405,0,True,38.1,2,0,False,1,1,True,13,2024-08-22,2024-09-28,37,19,Low,0.06603,0.269,0,0,0
00Q0000046,26834031,BRUFUS s.r.o.,G,Wholesale & Retail,Retail,CZ071,Olomoucký,112,s.r.o.,2004,22,Small,14,135.3,Event,Contacted,Hot,Jana Procházková,11,12,4,17,0.7145,1,False,70.2,5,2,False,3,0,True,18,2023-06-27,2023-07-08,11,66,High,0.454387,0.416,0,0,0
00Q0000047,22316965,"AXIUM, s.r.o.",L,Real Estate,Real Estate,CZ010,Praha,112,s.r.o.,2024,2,Small,33,45.05,Web,Contacted,Warm,Eva Šimánek,7,3,0,6,0.6431,1,False,1.7,3,0,False,0,0,False,78,2023-04-15,2023-05-31,46,67,High,0.076444,0.297,0,0,0
00Q0000048,27822541,HAVIMED s.r.o.,Q,Healthcare,Healthcare,CZ080,Moravskoslezský,112,s.r.o.,2007,19,Small,36,49.62,Web,Nurturing,Warm,Jana Procházková,3,1,0,11,0.1417,2,False,31.8,1,0,False,4,0,True,17,2024-10-27,2024-12-22,56,38,Medium,0.098171,0.188,0,0,0
00Q0000049,25872150,"Obecní lesy Lipová - lázně, s.r.o.",A,Agriculture,Agriculture,CZ071,Olomoucký,112,s.r.o.,2001,25,Small,14,25.85,Web,New,Cold,Pavel Kratochvíl,22,1,0,9,0.1536,1,False,95.0,1,1,False,1,0,False,9,2023-02-28,2023-03-02,2,44,Medium,0.082173,0.144,0,0,0
00Q0000050,15057682,"PERSEUS, a.s.",A,Agriculture,Agriculture,CZ052,Královéhradecký,121,a.s.,1991,35,Medium,63,81.26,Email Campaign,Working,Warm,Lucie Horáková,1,1,0,5,0.3671,0,True,3.3,1,0,False,0,0,False,0,2023-02-15,2023-03-06,19,61,High,0.353638,0.211,0,0,0
00Q0000051,25841203,FRAMUN s.r.o.,C,Manufacturing,Manufacturing,CZ072,Zlínský,112,s.r.o.,1999,27,Medium,164,518.06,LinkedIn,Nurturing,Warm,Martin Novák,4,1,0,8,0.2156,0,False,29.1,3,0,False,2,0,False,49,2023-10-21,2024-01-29,100,51,Medium,0.101406,0.201,0,0,0
00Q0000052,10966617,D3-Digital Dental Design s.r.o.,A,Agriculture,Agriculture,CZ010,Praha,112,s.r.o.,2021,5,Small,10,33.68,Referral,Working,Cold,Lucie Horáková,2,3,2,9,0.3642,1,False,11.2,4,1,False,0,2,False,33,2022-09-09,2022-10-05,26,62,High,0.20128,0.162,0,0,0
00Q0000053,47123737,MICROSOFT s.r.o.,J,Information & Communication,Technology,CZ010,Praha,112,s.r.o.,1992,34,Enterprise,4759,14559.64,Email Campaign,Contacted,Hot,Pavel Kratochvíl,1,2,0,11,0.2691,1,False,10.5,4,0,False,1,0,False,24,2024-12-09,2024-12-25,16,87,High,0.937086,0.337,1,0,0
00Q0000054,04365488,EFFECTINOX a.s.,C,Manufacturing,Manufacturing,CZ010,Praha,121,a.s.,2015,11,Small,12,47.96,LinkedIn,Qualified,Hot,Tomáš Dvořák,11,6,1,7,0.8654,3,True,1.5,7,2,True,3,2,True,0,2022-07-17,2022-08-05,19,100,High,0.998893,0.73,1,1,0
00Q0000055,04047419,ANEGG s.r.o.,F,Construction,Construction,CZ051,Liberecký,112,s.r.o.,2015,11,Small,33,60.73,LinkedIn,Nurturing,Cold,Eva Šimánek,4,2,0,8,0.2944,0,True,12.0,1,3,False,0,2,True,72,2023-07-10,2023-10-01,83,61,High,0.844359,0.261,0,0,0
00Q0000056,05752663,"JiViŠ facility, s.r.o.",A,Agriculture,Agriculture,CZ010,Praha,112,s.r.o.,2017,9,Small,25,55.91,Cold Call,Contacted,Warm,Eva Šimánek,1,2,0,11,0.2585,0,False,26.5,1,0,False,0,1,False,3,2023-09-24,2023-11-09,46,41,Medium,0.127975,0.191,0,0,0
00Q0000057,17489946,kamerlik s.r.o.,I,Accommodation & Food,Hospitality,CZ080,Moravskoslezský,112,s.r.o.,2022,4,Small,19,36.49,Partner,Working,Hot,Martin Novák,0,2,0,7,0.3147,3,True,17.7,4,0,False,3,1,True,0,2022-10-03,2022-10-19,16,56,Medium,0.591115,0.306,0,0,0
00Q0000058,62362801,"DIMPEX, s.r.o.",C,Manufacturing,Manufacturing,CZ071,Olomoucký,112,s.r.o.,1995,31,Small,12,28.94,Email Campaign,Contacted,Cold,Jana Procházková,0,2,1,9,0.2927,0,False,17.6,2,0,False,1,1,False,16,2024-11-06,2024-12-30,54,43,Medium,0.0464,0.093,0,0,0
00Q0000059,07689560,"Rott, Růžička & Guttmann s.r.o.",M,Professional & Scientific,Consulting,CZ010,Praha,112,s.r.o.,2018,8,Small,27,60.45,Web,Qualified,Hot,Jana Procházková,7,1,0,9,0.1767,2,True,203.9,2,0,True,2,0,True,1,2022-03-02,2022-05-15,74,94,High,0.972382,0.544,1,1,0
00Q0000060,05951895,BIVAK - TOP PLUS s.r.o.,F,Construction,Construction,CZ032,Plzeňský,112,s.r.o.,2017,9,Small,13,14.35,Email Campaign,Contacted,Warm,Martin Novák,1,4,2,12,0.3927,0,False,15.9,3,0,False,1,0,True,71,2022-12-20,2023-01-10,21,38,Medium,0.015065,0.188,0,0,0
00Q0000061,02133571,"SILVEKO, s.r.o.",F,Construction,Construction,CZ020,Středočeský,112,s.r.o.,2013,13,Small,13,25.49,Referral,Working,Hot,Eva Šimánek,10,7,3,12,0.6071,3,True,131.2,4,0,False,3,3,False,20,2023-03-10,2023-03-24,14,64,High,0.614765,0.314,0,0,0
00Q0000062,29460743,BOMIROMI s.r.o.,G,Wholesale & Retail,Retail,CZ071,Olomoucký,112,s.r.o.,2012,14,Small,42,85.17,Referral,Converted,Hot,Tomáš Dvořák,7,10,6,12,0.8726,1,False,37.4,2,3,False,5,1,True,1,2022-02-12,2022-04-03,50,66,High,0.99763,0.466,1,1,0
00Q0000063,19300794,Zaplo Cargo s.r.o.,H,Transportation,Transportation,CZ080,Moravskoslezský,112,s.r.o.,2023,3,Small,21,49.27,Cold Call,Converted,Hot,Tomáš Dvořák,3,2,0,5,0.4417,4,False,15.1,5,1,True,2,1,False,5,2024-07-15,2024-11-24,132,56,Medium,0.981341,0.556,1,0,0
00Q0000064,25369351,SPIN TRADE spol. s r.o.,N,Administrative & Support,Other,CZ071,Olomoucký,112,s.r.o.,1997,29,Medium,180,186.97,Referral,Converted,Hot,Tomáš Dvořák,3,16,10,18,0.9382,2,True,51.5,5,2,True,1,0,False,3,2024-06-14,2024-08-22,69,85,High,0.999906,0.635,1,0,0
00Q0000065,25620886,ARRIVA STŘEDNÍ ČECHY s.r.o.,H,Transportation,Transportation,CZ020,Středočeský,112,s.r.o.,1997,29,Enterprise,2681,8611.77,Email Campaign,New,Cold,Eva Šimánek,0,3,0,8,0.3773,1,False,12.2,2,0,False,2,0,True,17,2024-04-16,2024-04-21,5,65,High,0.089179,0.115,0,0,0
00Q0000066,28949374,PH - PRAKTIK s.r.o.,Q,Healthcare,Healthcare,CZ020,Středočeský,112,s.r.o.,2009,17,Small,43,67.9,Email Campaign,Working,Warm,Pavel Kratochvíl,0,0,0,4,0.0629,0,False,18.8,4,0,False,2,0,True,4,2024-10-28,2024-11-10,13,39,Medium,0.037913,0.189,0,0,0
00Q0000067,04641302,Janob83 s.r.o.,I,Accommodation & Food,Hospitality,CZ053,Pardubický,112,s.r.o.,2015,11,Small,15,19.52,Cold Call,Working,Cold,Eva Šimánek,4,3,1,8,0.4342,0,False,89.7,1,2,False,1,0,False,4,2024-02-27,2024-03-10,12,35,Medium,0.038756,0.185,0,0,0
00Q0000068,06284752,Nepovím s.r.o.,H,Transportation,Transportation,CZ052,Královéhradecký,112,s.r.o.,2017,9,Small,36,73.54,Referral,Qualified,Hot,Eva Šimánek,0,2,0,12,0.2111,2,True,19.5,1,4,False,3,2,True,2,2022-10-26,2023-01-01,67,88,High,0.973958,0.538,0,0,0
00Q0000069,27579506,GELCO s.r.o.,G,Wholesale & Retail,Retail,CZ010,Praha,112,s.r.o.,2006,20,Small,34,93.18,Email Campaign,Unqualified,Cold,Pavel Kratochvíl,7,0,0,8,0.0319,0,False,6.4,0,0,False,2,0,False,29,2023-04-13,2023-05-09,26,14,Low,0.015159,0.064,0,0,0
00Q0000070,19103735,WIKO trans s.r.o.,H,Transportation,Transportation,CZ020,Středočeský,112,s.r.o.,2023,3,Small,10,29.25,Referral,Working,Cold,Tomáš Dvořák,8,0,0,2,0.4084,1,False,74.4,5,0,False,1,0,False,3,2024-07-31,2024-08-23,23,50,Medium,0.058563,0.1,0,0,0
00Q0000071,27698084,Tomza s.r.o.,G,Wholesale & Retail,Retail,CZ064,Jihomoravský,112,s.r.o.,2006,20,Large,369,1030.57,Referral,Qualified,Hot,Eva Šimánek,11,3,1,7,0.4341,2,False,44.9,3,2,True,5,1,True,3,2025-02-17,2025-03-24,35,100,High,0.995561,0.65,1,1,0
00Q0000072,07577826,ASAP Delivery s.r.o.,H,Transportation,Transportation,CZ010,Praha,112,s.r.o.,2018,8,Medium,55,192.76,Web,Qualified,Hot,Eva Šimánek,1,7,3,16,0.4688,0,False,61.1,1,1,True,2,2,False,0,2022-05-26,2022-07-09,44,88,High,0.957739,0.588,1,1,0
00Q0000073,27490297,"MERCEL, cutting knives, s.r.o.",C,Manufacturing,Manufacturing,CZ052,Královéhradecký,112,s.r.o.,2006,20,Medium,69,192.54,Web,Working,Hot,Pavel Kratochvíl,4,3,0,10,0.3647,1,True,70.6,1,1,False,0,0,False,14,2023-01-16,2023-02-03,18,65,High,0.301357,0.365,0,0,0
00Q0000074,10788450,SORKIN YUMMY s.r.o.,I,Accommodation & Food,Hospitality,CZ010,Praha,112,s.r.o.,2021,5,Small,11,24.05,Event,Unqualified,Cold,Lucie Horáková,1,0,0,7,0.063,0,False,12.7,3,0,False,1,0,False,58,2025-01-20,2025-03-06,45,9,Low,0.001439,0.059,0,0,0
00Q0000075,26112221,MEDI ARNIKA s.r.o.,Q,Healthcare,Healthcare,CZ031,Jihočeský,112,s.r.o.,2006,20,Small,41,36.02,Referral,Working,Warm,Martin Novák,2,6,2,12,0.5506,1,False,104.7,3,1,False,0,1,False,34,2025-03-12,2025-03-31,30,55,Medium,0.031416,0.255,0,0,0
00Q0000076,08757127,PKbau s.r.o.,F,Construction,Construction,CZ063,Kraj Vysočina,112,s.r.o.,2019,7,Small,16,27.35,Web,Nurturing,Cold,Pavel Kratochvíl,0,2,0,8,0.3082,1,False,84.0,4,1,False,2,0,False,26,2023-12-23,2024-02-03,42,33,Medium,0.018158,0.133,0,0,0
00Q0000077,26012626,Haniš srubové domy s.r.o.,F,Construction,Construction,CZ052,Královéhradecký,112,s.r.o.,2004,22,Small,13,30.54,LinkedIn,Working,Hot,Pavel Kratochvíl,9,2,1,4,0.5741,0,False,93.7,2,0,False,1,0,False,6,2023-12-23,2024-01-16,24,40,Medium,0.10283,0.29,0,0,0
00Q0000078,45310203,MEDKOTECH s.r.o.,C,Manufacturing,Manufacturing,CZ072,Zlínský,112,s.r.o.,1992,34,Small,45,81.96,Cold Call,Converted,Warm,Lucie Horáková,10,5,2,12,0.4264,1,True,3.5,1,0,False,2,0,False,3,2024-08-09,2025-01-06,150,66,High,0.98157,0.216,1,1,0
